SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cC082,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1710,54,0,541,0,4190,Negative,Negative,Negative,C082
cC083,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3600,65,0,296,519,576,Negative,Negative,Negative,C083
cC084,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3800,66,0,612,708,371,Negative,Negative,Negative,C084
cC085,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3400,67,0,364,215,341,Negative,Negative,Negative,C085
cC086,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,4100,68,0,180,0,0,Negative,Negative,Negative,C086
cC087,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3400,69,0,1420,176,0,Negative,Negative,Negative,C087
cC088,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3600,70,0,541,226,0,Negative,Negative,Negative,C088
cC089,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3400,71,0,347,314,0,Negative,Negative,Negative,C089
cC090,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,4200,72,0,401,0,0,Negative,Negative,Negative,C090
cC091,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3300,73,0,796,639,0,Negative,Negative,Negative,C091
cC092,,,Eight,8,CE ,RD2 ,RD2-JF,EightCE,EightCE_RD2,3300,74,0,1189,2494,0,Negative,Negative,Negative,C092
cC093,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,10300,93,0,1234,17792,0,Negative,Negative,Negative,C093
cC094,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,10000,94,0,203,8736,0,Negative,Negative,Negative,C094
cC095,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,9300,95,0,1473,11288,0,Negative,Negative,Negative,C095
cC096,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,10000,96,0,1076,12106,0,Negative,Negative,Negative,C096
cC097,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,8500,97,0,711,3598,0,Negative,Negative,Negative,C097
cC098,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,9000,98,0,844,9160,0,Negative,Negative,Negative,C098
cC099,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,9100,99,0,523,14295,0,Negative,Negative,Negative,C099
cC100,,,Twelve,12,CE ,RD2 ,RD2-JF,TwelveCE,TwelveCE_RD2,8300,100,0,1076,14993,0,Negative,Negative,Negative,C100
cC101,,,Sixteen,16,CE ,RD2 ,RD2-JF,SixteenCE,SixteenCE_RD2,17400,101,0,1432,13202,0,Negative,Negative,Negative,C101
cC102,,,Sixteen,16,CE ,RD2 ,RD2-JF,SixteenCE,SixteenCE_RD2,16600,102,0,6198,14250,0,Negative,Negative,Negative,C102
cC103,,,Sixteen,16,CE ,RD2 ,RD2-JF,SixteenCE,SixteenCE_RD2,17600,103,0,273,10499,0,Negative,Negative,Negative,C103
cC104,,,Sixteen,16,CE ,RD2 ,RD2-JF,SixteenCE,SixteenCE_RD2,15000,104,0,1234,4381,0,Negative,Negative,Negative,C104
cI105,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,137,1,6103,229,3768,0,Negative,Negative,Negative,I105
cI106,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,157,2,7713,1440,4934,2082,Negative,Negative,Negative,I106
cI107,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,132,3,8852,741,5589,0,Negative,Negative,Negative,I107
cI108,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,135,4,6414,1076,9686,0,Negative,Negative,Negative,I108
cI109,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,163,5,7257,1694,6906,1826,Negative,Negative,Negative,I109
cI110,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,153,6,8618,1497,2821,0,Negative,Negative,Negative,I110
